LSOA_Code,RUC21CD,RUC21NM,Urban_rural_flag
E01000437,UN1,Urban: Nearer to a major town or city,Urban
E01000438,UN1,Urban: Nearer to a major town or city,Urban
E01000439,UN1,Urban: Nearer to a major town or city,Urban
E01000440,UN1,Urban: Nearer to a major town or city,Urban
E01000441,UN1,Urban: Nearer to a major town or city,Urban
E01000442,UN1,Urban: Nearer to a major town or city,Urban
E01000443,UN1,Urban: Nearer to a major town or city,Urban
E01000444,UN1,Urban: Nearer to a major town or city,Urban
E01000445,UN1,Urban: Nearer to a major town or city,Urban
E01000446,UN1,Urban: Nearer to a major town or city,Urban
E01000447,UN1,Urban: Nearer to a major town or city,Urban
E01000448,UN1,Urban: Nearer to a major town or city,Urban
E01000449,UN1,Urban: Nearer to a major town or city,Urban
E01000450,UN1,Urban: Nearer to a major town or city,Urban
E01000451,UN1,Urban: Nearer to a major town or city,Urban
E01000452,UN1,Urban: Nearer to a major town or city,Urban
E01000453,UN1,Urban: Nearer to a major town or city,Urban
E01000454,UN1,Urban: Nearer to a major town or city,Urban
E01000455,UN1,Urban: Nearer to a major town or city,Urban
E01000456,UN1,Urban: Nearer to a major town or city,Urban
E01000457,UN1,Urban: Nearer to a major town or city,Urban
E01000458,UN1,Urban: Nearer to a major town or city,Urban
E01000459,UN1,Urban: Nearer to a major town or city,Urban
E01000460,UN1,Urban: Nearer to a major town or city,Urban
E01000461,UN1,Urban: Nearer to a major town or city,Urban
E01000462,UN1,Urban: Nearer to a major town or city,Urban
E01000463,UN1,Urban: Nearer to a major town or city,Urban
E01000464,UN1,Urban: Nearer to a major town or city,Urban
E01000465,UN1,Urban: Nearer to a major town or city,Urban
E01000466,UN1,Urban: Nearer to a major town or city,Urban
E01000732,UN1,Urban: Nearer to a major town or city,Urban
E01000628,UN1,Urban: Nearer to a major town or city,Urban
E01000733,UN1,Urban: Nearer to a major town or city,Urban
E01000734,UN1,Urban: Nearer to a major town or city,Urban
E01000735,UN1,Urban: Nearer to a major town or city,Urban
E01000736,UN1,Urban: Nearer to a major town or city,Urban
E01000737,UN1,Urban: Nearer to a major town or city,Urban
E01000738,UN1,Urban: Nearer to a major town or city,Urban
E01000739,UN1,Urban: Nearer to a major town or city,Urban
E01000741,UN1,Urban: Nearer to a major town or city,Urban
E01000742,UN1,Urban: Nearer to a major town or city,Urban
E01000743,UN1,Urban: Nearer to a major town or city,Urban
E01000744,UN1,Urban: Nearer to a major town or city,Urban
E01000745,UN1,Urban: Nearer to a major town or city,Urban
E01000746,UN1,Urban: Nearer to a major town or city,Urban
E01000747,UN1,Urban: Nearer to a major town or city,Urban
E01000748,UN1,Urban: Nearer to a major town or city,Urban
E01000749,UN1,Urban: Nearer to a major town or city,Urban
E01000750,UN1,Urban: Nearer to a major town or city,Urban
E01000751,UN1,Urban: Nearer to a major town or city,Urban
E01000752,UN1,Urban: Nearer to a major town or city,Urban
E01000753,UN1,Urban: Nearer to a major town or city,Urban
E01000754,UN1,Urban: Nearer to a major town or city,Urban
E01000755,UN1,Urban: Nearer to a major town or city,Urban
E01000756,UN1,Urban: Nearer to a major town or city,Urban
E01000629,UN1,Urban: Nearer to a major town or city,Urban
E01000757,UN1,Urban: Nearer to a major town or city,Urban
E01000630,UN1,Urban: Nearer to a major town or city,Urban
E01000758,UN1,Urban: Nearer to a major town or city,Urban
E01000631,UN1,Urban: Nearer to a major town or city,Urban
E01000759,UN1,Urban: Nearer to a major town or city,Urban
E01000632,UN1,Urban: Nearer to a major town or city,Urban
E01000760,UN1,Urban: Nearer to a major town or city,Urban
E01000633,UN1,Urban: Nearer to a major town or city,Urban
E01000761,UN1,Urban: Nearer to a major town or city,Urban
E01000634,UN1,Urban: Nearer to a major town or city,Urban
E01000762,UN1,Urban: Nearer to a major town or city,Urban
E01000636,UN1,Urban: Nearer to a major town or city,Urban
E01000763,UN1,Urban: Nearer to a major town or city,Urban
E01000637,UN1,Urban: Nearer to a major town or city,Urban
